acpi,1.7-3
alsa-lib,1.2.5.1-3
alsa-utils,1.2.5.1-1
android-tools,31.0.2-1
ark,21.08.0-1
autoconf,2.71-1
automake,1.16.4-1
avahi,0.8+20+gd1e71b3-1
baloo,5.85.0-1
base,2-2
bat,0.18.2-1
binutils,2.36.1-3
bluez-utils,5.60-1
bpytop,1.0.67-1
brave-bin,1:1.28.106-1
chromium,92.0.4515.159-1
cmatrix,2.0-2
docker,1:20.10.8-1
dolphin,21.08.0-1
dolphin-plugins,21.08.0-1
dosfstools,4.2-1
efibootmgr,17-2
emacs,27.2-1
exa,0.10.1-1
expac,10-4
fakeroot,1.25.3-2
fd,8.2.1-1
ffmpegthumbs,21.08.0-1
filelight,21.08.0-1
gcc,11.1.0-1
git,2.33.0-1
github-cli,1.14.0-1
gnome-keyring,1:40.0-1
gnu-free-fonts,20120503-8
grub,2:2.06-1
grub-customizer,5.1.0-2
gwenview,21.08.0-1
kamera,21.08.0-1
kamoso,21.08.0-1
kdeconnect,21.08.0-1
kdegraphics-thumbnailers,21.08.0-1
kdesdk-thumbnailers,21.08.0-1
kdialog,21.08.0-1
kinit,5.85.0-1
kompare,21.08.0-1
konsole,21.08.0-3
ktorrent,21.08.0-1
ktouch,21.08.0-1
kwalletmanager,21.08.0-1
kwave,21.08.0-1
linux,5.13.12.arch1-1
linux-firmware,20210818.c46b8c3-1
m4,1.4.19-1
make,4.3-3
markdownpart,21.08.0-1
mesa,21.2.1-1
mkvtoolnix-gui,60.0.0-1
mtools,1:4.0.35-1
neofetch,7.1.0-2
neovim,0.5.0-1
networkmanager,1.32.10-1
nmap,7.92-1
noto-fonts-emoji,20210625-1
npm,7.21.0-1
ntfs-3g,2017.3.23-5
obs-studio,27.0.1-2
okular,21.08.0-1
pacman-contrib,1.4.0-4
partitionmanager,21.08.0-1
patch,2.7.6-8
php,8.0.9-1
pkgconf,1.7.3-1
plasma-meta,5.22-1
postgresql,13.3-3
powertop,2.14-1
pulseaudio-bluetooth,15.0-1
python-pip,20.3.4-1
python-pyalsa,1.1.6-6
qtkeychain-qt5,0.12.0-1
redis,6.2.5-1
ripgrep,13.0.0-2
rmlint,2.10.1-2
scrcpy,1.18-1
sddm,0.19.0-6
signon-kwallet-extension,21.08.0-1
spectacle,21.08.0-1
sshfs,3.7.2-1
sudo,1.9.7.p2-1
svgpart,21.08.0-1
texinfo,6.8-2
texlive-core,2021.58710-2
texlive-fontsextra,2021.58704-1
texlive-formatsextra,2021.57972-1
texlive-latexextra,2021.58668-2
texlive-pictures,2021.58558-1
texlive-science,2021.58667-1
thermald,2.4.6-1
tldr,2.0.0-1
traceroute,2.1.0-5
tree,1.8.0-2
ttf-arphic-uming,0.2.20080216.2-1
ttf-fira-code,5.2-1
ufw,0.36-5
unzip,6.0-14
vi,1:070224-5
vim,8.2.2891-1
visual-studio-code-bin,1.59.1-1
vnstat,2.7-1
vulkan-intel,21.2.1-1
vundle,0.10.2-2
wget,1.21.1-1
xf86-video-intel,1:2.99.917+916+g31486f40-1
xf86-video-vesa,2.5.0-1
xorg-bdftopcf,1.1-2
xorg-docs,1.7.1-3
xorg-font-util,1.3.2-2
xorg-fonts-100dpi,1.0.3-7
xorg-fonts-75dpi,1.0.3-7
xorg-fonts-encodings,1.0.5-2
xorg-iceauth,1.0.8-2
xorg-mkfontscale,1.2.1-2
xorg-server,1.20.13-2
xorg-server-common,1.20.13-2
xorg-server-devel,1.20.13-2
xorg-server-xephyr,1.20.13-2
xorg-server-xnest,1.20.13-2
xorg-server-xvfb,1.20.13-2
xorg-sessreg,1.1.2-2
xorg-setxkbmap,1.3.2-2
xorg-smproxy,1.0.6-3
xorg-x11perf,1.6.1-2
xorg-xauth,1.1-2
xorg-xbacklight,1.2.3-2
xorg-xcmsdb,1.0.5-3
xorg-xcursorgen,1.0.7-2
xorg-xdpyinfo,1.3.2-4
xorg-xdriinfo,1.0.6-2
xorg-xev,1.2.4-1
xorg-xgamma,1.0.6-3
xorg-xhost,1.0.8-2
xorg-xinit,1.4.1-3
xorg-xinput,1.6.3-2
xorg-xkbcomp,1.4.5-1
xorg-xkbevd,1.1.4-3
xorg-xkbutils,1.0.4-4
xorg-xkill,1.0.5-2
xorg-xlsatoms,1.1.3-2
xorg-xlsclients,1.1.4-2
xorg-xmodmap,1.0.10-2
xorg-xpr,1.0.5-2
xorg-xprop,1.2.5-1
xorg-xrandr,1.5.1-2
xorg-xrdb,1.2.0-2
xorg-xrefresh,1.0.6-2
xorg-xset,1.2.4-2
xorg-xsetroot,1.1.2-2
xorg-xvinfo,1.1.4-2
xorg-xwayland,21.1.2-1
xorg-xwd,1.0.8-1
xorg-xwininfo,1.1.5-2
xorg-xwud,1.0.5-2
yakuake,21.08.0-1
yarn,1.22.11-1
yay,10.3.1-2
youtube-dl,2021.06.06-1
